wall_time,x_m,y_m,z_m,roll_rad,pitch_rad
1789203268.709352,0.8812087220029047,4.7856888445181065,1.9997921731280177,0.008857709083023293,-0.09043506322306938
1789203268.7175899,0.8812080605911721,4.785862188780141,1.9998554955245187,0.008834828477533661,-0.09015348394488899
1789203268.7207837,0.8812076702737195,4.785975846137237,1.9998969313771842,0.008819919493570501,-0.08996860294454938
1789203268.7265584,0.8812071447090839,4.786143465210944,1.9999579149472724,0.008798026941656833,-0.08969553176649288
1789203268.7302105,0.8812068259497217,4.786253306536798,1.9999977927972283,0.008783723169816304,-0.08951631641982329
1789203268.736127,0.8812063828403817,4.786415223112637,2.000056447428606,0.008762668872479467,-0.0892517411945664
1789203268.7406914,0.8812061045451778,4.786521277538025,2.0000947788689465,0.008748882187940973,-0.08907818936701285
1789203268.7462275,0.8812057039405318,4.7866775156570815,2.000151118045687,0.008728551163470688,-0.08882211653476955
1789203268.7495613,0.8812054431180374,4.786779805845788,2.0001879148295427,0.008715215601105546,-0.08865423511034722
1789203268.756514,0.8812050547237631,4.7869304510045785,2.000241972883529,0.008695516002742452,-0.08840665180800715
1789203268.7599216,0.8812047943648026,4.787029033826407,2.0002772588438638,0.008682576467550338,-0.0882444175527006
1789203268.7666242,0.8812043973350874,4.787174133917933,2.0003290634010416,0.008663442788289332,-0.08800528702450983
1789203268.7701652,0.8812041260414413,4.787269025889702,2.0003628550401746,0.008650864331915965,-0.08784867435763598
1789203268.7761245,0.8812037059769839,4.787408615798055,2.0004124340333296,0.008632251586499924,-0.08761795406579795
1789203268.78067,0.8812034156599954,4.787499852093212,2.0004447529364366,0.008620007548403323,-0.0874669311196927
1789203268.786369,0.8812029626675236,4.7876339857560435,2.0004921398755258,0.008601880126105153,-0.08724456606553473
1789203268.7899191,0.881202648018802,4.787721603091934,2.0005230090833495,0.008589950255785241,-0.08709909161568664
1789203268.7955923,0.8812021556548529,4.7878503412894435,2.000568240167839,0.008572282176186167,-0.08688501340882422
1789203268.800045,0.8812018132100459,4.787934386946791,2.0005976853285867,0.00856064954976725,-0.08674503540406514
1789203268.8058674,0.8812012776095143,4.788057796660472,2.0006407991230395,0.008543419069855927,-0.0865391586600704
1789203268.8107789,0.8812009055661678,4.7881383095802885,2.0006688454288484,0.0085320733306696,-0.08640461762677525
1789203268.8166656,0.8812003239478081,4.7882564592123975,2.000709882208359,0.00851526521183989,-0.08620684467698804
1789203268.8199675,0.8811999184811551,4.788333481473321,2.000736558770022,0.00850420922533659,-0.08607766215977763
1789203268.825742,0.8811992796226785,4.788446417611077,2.000775566188188,0.008487875606599967,-0.08588783355058181
1789203268.8302646,0.8811988312863845,4.78851998824184,2.000800907618542,0.008477159707723076,-0.0857638828144787
1789203268.8358614,0.881198122288277,4.788627784013565,2.00083793778397,0.008461347803670529,-0.08558181581373762
1789203268.8403227,0.8811976239198307,4.788697953061596,2.000861977326587,0.008450979844440439,-0.08546298776623133
1789203268.8461213,0.8811968358809522,4.788800685492451,2.0008970779660933,0.008435683614513686,-0.08528853508800702
